scorer,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000,DLC_effnet_b0_Simba ModifiedAug27shuffle0_150000
bodyparts,earr,earr,earr,earl,earl,earl,eyer,eyer,eyer,eyel,eyel,eyel,nose,nose,nose,throat,throat,throat,elbowr,elbowr,elbowr,elbowl,elbowl,elbowl,handr,handr,handr,handl,handl,handl,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,kneer,kneer,kneer,kneel,kneel,kneel,ankler,ankler,ankler,anklel,anklel,anklel
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,756.3868408203125,342.8321228027344,0.9999998807907104,1076.6221923828125,409.5460205078125,0.9999996423721313,886.831298828125,463.0222473144531,0.9999983310699463,1001.6373291015625,497.0149230957031,0.9999983310699463,951.810546875,544.4675903320312,0.9999996423721313,769.5585327148438,721.4107666015625,0.00046077033039182425,768.50439453125,719.5280151367188,0.9999845027923584,863.4129028320312,683.53955078125,0.9993649125099182,863.9715576171875,828.0466918945312,0.9999641180038452,862.1006469726562,684.3400268554688,0.0009872236987575889,453.49969482421875,494.0858154296875,0.9999964237213135,223.84426879882812,701.0492553710938,0.9999840259552002,453.6895446777344,754.5148315429688,0.9999992847442627,858.2756958007812,683.9508056640625,0.0013788772048428655,482.32196044921875,886.4494018554688,0.9999985694885254,858.3773193359375,682.2439575195312,0.003742731176316738
9,756.3887329101562,342.8193054199219,0.9999998807907104,1076.5894775390625,409.6632385253906,0.9999996423721313,886.2926025390625,461.85992431640625,0.9999991655349731,1001.2281494140625,496.5286865234375,0.9999974966049194,951.82373046875,544.4898071289062,0.9999996423721313,769.5340576171875,721.4204711914062,0.0004735612601507455,768.450927734375,719.5732421875,0.9999842643737793,863.4470825195312,683.526123046875,0.9993773102760315,863.9736938476562,828.0670776367188,0.9999666213989258,862.10791015625,684.3319091796875,0.0009924537735059857,453.4865417480469,494.0705871582031,0.9999964237213135,223.80441284179688,701.0586547851562,0.9999831914901733,453.69464111328125,754.4585571289062,0.9999992847442627,858.2214965820312,683.9359741210938,0.0013429903192445636,482.3335876464844,886.4843139648438,0.9999985694885254,858.3413696289062,682.2299194335938,0.003689410863444209
10,756.3905029296875,342.817138671875,0.9999998807907104,1076.5791015625,409.654052734375,0.9999996423721313,886.304931640625,461.8557434082031,0.9999991655349731,1001.2238159179688,496.5553894042969,0.999997615814209,951.8272094726562,544.4888305664062,0.9999996423721313,769.5364379882812,721.4434204101562,0.0004771652165800333,768.4409790039062,719.6041259765625,0.999984622001648,863.4486694335938,683.52734375,0.9993791580200195,863.970458984375,828.066162109375,0.9999666213989258,862.1043701171875,684.3301391601562,0.000994222704321146,453.4886169433594,494.0813293457031,0.9999964237213135,223.79977416992188,701.0565795898438,0.9999831914901733,453.6969299316406,754.4498901367188,0.9999992847442627,858.216552734375,683.9351196289062,0.0013447084929794073,482.3348388671875,886.4917602539062,0.9999985694885254,858.3390502929688,682.2305908203125,0.003683471819385886
11,756.3399047851562,342.82623291015625,0.9999998807907104,1076.5831298828125,409.59063720703125,0.9999996423721313,886.7356567382812,462.0491027832031,0.999998927116394,1001.8634033203125,496.0680236816406,0.9999978542327881,951.84033203125,544.4708251953125,0.9999996423721313,769.5358276367188,721.4848022460938,0.00048340787179768085,768.4251098632812,719.7272338867188,0.9999860525131226,863.4378051757812,683.5308227539062,0.999373733997345,863.9717407226562,828.0711059570312,0.9999668598175049,862.0982055664062,684.3353271484375,0.0009973077103495598,453.4941711425781,494.0804443359375,0.9999964237213135,223.79693603515625,701.0562133789062,0.9999831914901733,453.7043151855469,754.4358520507812,0.9999992847442627,858.2313232421875,683.9382934570312,0.0013527747942134738,482.3255920410156,886.4699096679688,0.9999985694885254,858.3519897460938,682.2299194335938,0.0036026821471750736
12,756.3307495117188,342.8302001953125,0.9999998807907104,1076.5703125,409.6047058105469,0.9999996423721313,886.8004760742188,462.24029541015625,0.9999988079071045,1001.8309326171875,496.0765075683594,0.9999978542327881,951.843505859375,544.4755249023438,0.9999996423721313,769.5369262695312,721.4851684570312,0.0004836477746721357,768.4326782226562,719.731201171875,0.9999861717224121,863.4436645507812,683.5333251953125,0.999377965927124,863.9915161132812,828.0641479492188,0.9999667406082153,862.10302734375,684.3323974609375,0.000994246220216155,453.4958801269531,494.0829772949219,0.9999964237213135,223.7029571533203,701.0523071289062,0.9999815225601196,453.6917724609375,754.4424438476562,0.9999992847442627,858.2295532226562,683.9437255859375,0.001354820211417973,482.3348388671875,886.4568481445312,0.9999985694885254,858.3521118164062,682.23583984375,0.003613643115386367
13,756.3312377929688,342.8576965332031,0.9999998807907104,1076.603271484375,409.5885925292969,0.9999996423721313,886.9370727539062,462.5384521484375,0.9999984502792358,1002.1680908203125,497.4278869628906,0.9999992847442627,951.7230224609375,544.5137939453125,0.9999997615814209,769.5401611328125,721.4622192382812,0.00048284282092936337,768.4553833007812,719.689453125,0.999985933303833,863.4539794921875,683.5435180664062,0.9994070529937744,863.9241333007812,828.0994262695312,0.9999667406082153,862.0827026367188,684.31396484375,0.0009976797737181187,453.4453430175781,494.10992431640625,0.9999964237213135,223.58084106445312,701.0402221679688,0.9999806880950928,453.77777099609375,754.4287109375,0.9999991655349731,858.1929321289062,683.9503173828125,0.001333082327619195,482.34466552734375,886.4198608398438,0.9999985694885254,858.3201904296875,682.25146484375,0.003704534377902746
14,756.3549194335938,342.8586120605469,0.9999998807907104,1076.615234375,409.5744934082031,0.9999996423721313,886.9150390625,462.60882568359375,0.9999983310699463,1002.1864013671875,497.450927734375,0.9999992847442627,951.6866455078125,544.5242919921875,0.9999997615814209,769.555908203125,721.4602661132812,0.0004845905350521207,768.4898681640625,719.6741943359375,0.9999861717224121,863.4572143554688,683.5570678710938,0.999382734298706,863.9808959960938,828.1008911132812,0.9999667406082153,862.0980834960938,684.3140258789062,0.0010050174314528704,453.4605712890625,494.0680847167969,0.9999964237213135,223.52841186523438,700.9479370117188,0.9999816417694092,453.80029296875,754.4869995117188,0.9999992847442627,858.2322998046875,683.95068359375,0.0013641571858897805,482.35699462890625,886.4151000976562,0.9999984502792358,858.3651123046875,682.260986328125,0.003699555527418852
15,756.9630737304688,345.0833435058594,0.9999998807907104,1076.346435546875,412.87005615234375,0.9999998807907104,885.6742553710938,464.423095703125,0.9999992847442627,999.9342041015625,498.6361083984375,0.999998927116394,950.5841064453125,544.82080078125,0.9999998807907104,771.3018798828125,718.8150634765625,0.00045507418690249324,766.6836547851562,716.9198608398438,0.999991774559021,858.8978271484375,689.0206909179688,0.999763548374176,865.2081298828125,827.1837768554688,0.9999892711639404,860.5187377929688,686.1677856445312,0.0011135293170809746,454.7991027832031,494.0209655761719,0.9999924898147583,224.1911163330078,701.2020263671875,0.9999880790710449,453.77398681640625,754.4574584960938,0.9999994039535522,861.3512573242188,688.2449340820312,0.001278755604289472,479.86260986328125,889.0900268554688,0.9999839067459106,859.5862426757812,686.2721557617188,0.002842383924871683
16,757.1895751953125,344.6915283203125,0.9999997615814209,1076.372802734375,412.8271484375,0.9999998807907104,885.6522216796875,464.419921875,0.9999992847442627,999.8265991210938,498.7301330566406,0.9999990463256836,950.5947265625,544.8095092773438,0.9999998807907104,771.5787353515625,718.2244873046875,0.0004416409065015614,766.9063720703125,715.4826049804688,0.9999914169311523,858.5960083007812,689.4826049804688,0.9999054670333862,865.2257690429688,827.1183471679688,0.99998939037323,860.1138305664062,686.2945556640625,0.0009064616169780493,454.8177795410156,493.98858642578125,0.9999926090240479,223.37655639648438,700.7722778320312,0.9999854564666748,453.7892150878906,754.9241333007812,0.9999994039535522,857.8617553710938,690.340576171875,0.0009783910354599357,479.6354064941406,889.4252319335938,0.9999849796295166,481.486328125,886.4767456054688,0.002531816717237234
17,757.2850341796875,344.60546875,0.9999997615814209,1074.759765625,414.5802001953125,0.9999997615814209,885.2929077148438,464.12261962890625,0.9999990463256836,998.4656372070312,499.591796875,0.9999994039535522,948.9081420898438,546.4357299804688,1.0,1006.0457763671875,490.4205017089844,0.000531627971213311,766.5809936523438,711.6301879882812,0.9999938011169434,859.3052978515625,690.0492553710938,0.999996542930603,868.1344604492188,825.275634765625,0.9999958276748657,861.5455932617188,700.4605102539062,0.0006317009101621807,452.3145446777344,494.0486145019531,0.9999988079071045,222.6498260498047,700.4439697265625,0.9999901056289673,453.7062072753906,754.9999389648438,0.9999994039535522,857.9373779296875,691.4815063476562,0.002073976444080472,479.3058776855469,889.2122192382812,0.9999865293502808,481.2015075683594,886.2758178710938,0.0022184965200722218
